epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
106,7524.39,1.09808,0.57318,1.0723,0.87357,0.82578,0.88737,0.59942,1.25817,0.61897,1.19213,0.000800577,0.000800577,0.000800577
107,7595.35,1.06477,0.56385,1.06695,0.87045,0.84064,0.89943,0.62036,1.22841,0.65364,1.18497,0.000792325,0.000792325,0.000792325
108,7666.27,1.04605,0.55588,1.05767,0.85449,0.85605,0.88673,0.59745,1.24181,0.61582,1.19369,0.000784073,0.000784073,0.000784073
109,7737.2,1.05936,0.54914,1.05313,0.8906,0.8357,0.89319,0.61096,1.25145,0.61039,1.19969,0.000775822,0.000775822,0.000775822
110,7808.16,1.09999,0.57499,1.0768,0.87393,0.84947,0.88643,0.60442,1.2397,0.64124,1.18638,0.00076757,0.00076757,0.00076757
111,7879.12,1.06698,0.56529,1.05228,0.87968,0.83478,0.8868,0.61264,1.22962,0.60557,1.18602,0.000759318,0.000759318,0.000759318
112,7950.05,1.04754,0.5611,1.0483,0.88432,0.85316,0.8974,0.62558,1.21225,0.61585,1.17709,0.000751067,0.000751067,0.000751067
113,8021.25,1.04946,0.54633,1.06621,0.84924,0.8567,0.8946,0.61272,1.22052,0.62894,1.18034,0.000742815,0.000742815,0.000742815
114,8092.17,1.04307,0.54999,1.04014,0.87729,0.83809,0.89108,0.61273,1.23687,0.62775,1.17965,0.000734564,0.000734564,0.000734564
115,8163.08,1.02274,0.5417,1.05043,0.86354,0.86083,0.8913,0.61779,1.21768,0.60295,1.17923,0.000726312,0.000726312,0.000726312
116,8234.08,1.04117,0.54358,1.03869,0.87543,0.83874,0.89035,0.61393,1.23227,0.62408,1.19525,0.00071806,0.00071806,0.00071806
117,8305.03,1.05312,0.56058,1.05128,0.87564,0.84577,0.89825,0.62505,1.20688,0.61794,1.17777,0.000709809,0.000709809,0.000709809
118,8376.01,1.03914,0.54434,1.03671,0.86886,0.85613,0.8919,0.60836,1.22408,0.62118,1.18894,0.000701557,0.000701557,0.000701557
119,8447.01,1.05452,0.5468,1.04924,0.87684,0.84972,0.89773,0.62366,1.20842,0.59863,1.18118,0.000693305,0.000693305,0.000693305
120,8518.02,1.02241,0.5291,1.03359,0.85895,0.84507,0.88973,0.604,1.2371,0.6138,1.19588,0.000685054,0.000685054,0.000685054
121,8588.98,1.05068,0.54681,1.04877,0.86976,0.85112,0.89456,0.61155,1.22682,0.60826,1.19376,0.000676802,0.000676802,0.000676802
122,8659.96,1.00984,0.52918,1.02676,0.86888,0.8379,0.89478,0.61077,1.27927,0.62874,1.21104,0.00066855,0.00066855,0.00066855
123,8730.91,1.03562,0.53861,1.04658,0.86274,0.851,0.89323,0.60811,1.26132,0.62499,1.19841,0.000660299,0.000660299,0.000660299
124,8801.86,1.05088,0.55456,1.04749,0.88364,0.82106,0.89207,0.61685,1.23803,0.60595,1.19162,0.000652047,0.000652047,0.000652047
125,8872.81,1.01021,0.53014,1.02303,0.87445,0.84516,0.89044,0.61109,1.23461,0.61048,1.18859,0.000643795,0.000643795,0.000643795
126,8943.78,0.99993,0.52017,1.03001,0.87891,0.83626,0.8927,0.62229,1.20249,0.58979,1.172,0.000635544,0.000635544,0.000635544
127,9014.7,0.99833,0.52513,1.02728,0.87269,0.85416,0.89268,0.62318,1.21112,0.59678,1.18627,0.000627292,0.000627292,0.000627292
128,9085.74,1.053,0.54289,1.04977,0.88953,0.85162,0.89723,0.61834,1.23071,0.6021,1.19358,0.00061904,0.00061904,0.00061904
129,9156.68,1.01995,0.52807,1.03817,0.87599,0.85049,0.90046,0.61239,1.2282,0.60226,1.18719,0.000610789,0.000610789,0.000610789
130,9227.62,0.99382,0.52101,1.02119,0.88917,0.85808,0.90353,0.62872,1.19948,0.59334,1.18254,0.000602537,0.000602537,0.000602537
131,9298.84,1.02945,0.53725,1.03642,0.86854,0.84047,0.88712,0.593,1.2999,0.62523,1.21277,0.000594286,0.000594286,0.000594286
132,9369.75,0.98428,0.51847,1.02158,0.87635,0.86431,0.90414,0.63264,1.21083,0.58448,1.18457,0.000586034,0.000586034,0.000586034
133,9440.99,0.99946,0.51856,1.02037,0.86549,0.86351,0.90097,0.6275,1.20981,0.59212,1.18998,0.000577782,0.000577782,0.000577782
134,9511.95,1.00223,0.51949,1.02295,0.8756,0.85108,0.89402,0.60892,1.24444,0.62359,1.19931,0.000569531,0.000569531,0.000569531
135,9582.87,0.9649,0.50455,1.01648,0.86103,0.85736,0.89541,0.61562,1.2458,0.61132,1.21178,0.000561279,0.000561279,0.000561279
136,9653.85,0.98178,0.50236,1.01293,0.88297,0.84247,0.89559,0.61942,1.22473,0.60104,1.19354,0.000553027,0.000553027,0.000553027
137,9724.76,0.96605,0.51036,1.01192,0.87256,0.84893,0.89757,0.62875,1.2382,0.60246,1.20578,0.000544776,0.000544776,0.000544776
138,9795.7,0.99018,0.52086,1.0331,0.87465,0.85684,0.90313,0.62641,1.24277,0.59755,1.20487,0.000536524,0.000536524,0.000536524
139,9866.62,0.97068,0.50815,1.01967,0.8853,0.85059,0.89987,0.62423,1.22236,0.57956,1.19051,0.000528272,0.000528272,0.000528272
140,9937.53,0.97267,0.52535,1.01936,0.90221,0.83747,0.90589,0.63144,1.21027,0.59492,1.1909,0.000520021,0.000520021,0.000520021
141,10008.5,0.9714,0.5063,1.01571,0.86935,0.87075,0.89811,0.61584,1.24604,0.60374,1.19893,0.000511769,0.000511769,0.000511769
142,10079.4,0.98079,0.51984,1.0376,0.87518,0.86319,0.90342,0.61633,1.23058,0.59977,1.19391,0.000503517,0.000503517,0.000503517
143,10150.3,0.96701,0.50843,1.02223,0.87986,0.85929,0.9026,0.624,1.22148,0.60973,1.19869,0.000495266,0.000495266,0.000495266
144,10221.2,0.98199,0.50708,1.02104,0.87854,0.85991,0.89969,0.62166,1.22564,0.6037,1.20453,0.000487014,0.000487014,0.000487014
145,10292.2,0.98703,0.50601,1.01045,0.88274,0.85331,0.90217,0.62708,1.22183,0.59473,1.20178,0.000478762,0.000478762,0.000478762
146,10363.1,0.93385,0.47782,1.00344,0.88364,0.86314,0.90347,0.62512,1.21462,0.59072,1.19126,0.000470511,0.000470511,0.000470511
147,10434.1,0.9601,0.49114,1.00058,0.88283,0.84973,0.89747,0.62244,1.20532,0.59014,1.1882,0.000462259,0.000462259,0.000462259
148,10505,0.9415,0.49112,1.0043,0.87364,0.86614,0.90073,0.62867,1.20947,0.58796,1.192,0.000454007,0.000454007,0.000454007
149,10576,0.96042,0.4972,1.02208,0.88187,0.85798,0.90123,0.62477,1.23896,0.59855,1.19944,0.000445756,0.000445756,0.000445756
150,10646.9,0.94186,0.48542,1.00476,0.88811,0.85268,0.90313,0.62703,1.21926,0.58954,1.19835,0.000437504,0.000437504,0.000437504
151,10717.9,0.98001,0.49164,1.02136,0.88797,0.86201,0.90716,0.63163,1.22636,0.58087,1.1977,0.000429253,0.000429253,0.000429253
152,10788.8,0.9655,0.49422,1.01607,0.8758,0.86778,0.90055,0.62667,1.22272,0.57951,1.20377,0.000421001,0.000421001,0.000421001
153,10859.7,0.92664,0.47132,0.98887,0.88392,0.86066,0.90154,0.61928,1.2237,0.58795,1.19859,0.000412749,0.000412749,0.000412749
154,10930.7,0.91019,0.46459,0.98989,0.88262,0.86265,0.90437,0.63044,1.21472,0.57794,1.1943,0.000404498,0.000404498,0.000404498
155,11001.6,0.89765,0.46109,0.99071,0.88074,0.85381,0.90143,0.62363,1.2068,0.58818,1.19422,0.000396246,0.000396246,0.000396246
156,11072.5,0.92516,0.48954,1.00186,0.87244,0.84898,0.89466,0.61799,1.22786,0.5998,1.19752,0.000387994,0.000387994,0.000387994
157,11143.4,0.8994,0.46103,0.98205,0.87951,0.85218,0.90053,0.62608,1.22119,0.59255,1.19923,0.000379743,0.000379743,0.000379743
158,11214.4,0.90187,0.46436,0.98438,0.8919,0.83765,0.89865,0.62788,1.19005,0.59039,1.18648,0.000371491,0.000371491,0.000371491
159,11285.3,0.91354,0.47076,0.98532,0.87715,0.85979,0.89997,0.61985,1.23078,0.60208,1.2059,0.000363239,0.000363239,0.000363239
160,11356.2,0.91198,0.46503,0.99256,0.89568,0.84216,0.89919,0.61812,1.21634,0.58605,1.19825,0.000354988,0.000354988,0.000354988
161,11427.1,0.89816,0.45888,0.98449,0.87729,0.84458,0.90279,0.62428,1.23352,0.5879,1.21244,0.000346736,0.000346736,0.000346736
162,11498.1,0.89347,0.46464,0.98251,0.87596,0.85135,0.90223,0.62532,1.21567,0.59844,1.20142,0.000338484,0.000338484,0.000338484
163,11569.1,0.89432,0.46826,0.99197,0.87585,0.86806,0.90133,0.63019,1.20802,0.56766,1.20396,0.000330233,0.000330233,0.000330233
164,11640,0.90138,0.47036,0.98373,0.87059,0.84619,0.89546,0.62374,1.22692,0.58032,1.20716,0.000321981,0.000321981,0.000321981
165,11711,0.8879,0.46191,0.97984,0.87989,0.84574,0.90024,0.62966,1.20634,0.59259,1.19563,0.000313729,0.000313729,0.000313729
166,11781.9,0.89105,0.45446,0.9768,0.88576,0.85193,0.89814,0.62466,1.21121,0.58865,1.19529,0.000305478,0.000305478,0.000305478
167,11852.8,0.91095,0.46604,0.9929,0.87024,0.86134,0.90036,0.63067,1.20172,0.58169,1.19334,0.000297226,0.000297226,0.000297226
168,11923.7,0.93968,0.48434,1.00741,0.87276,0.84006,0.89418,0.62276,1.21639,0.58224,1.20034,0.000288974,0.000288974,0.000288974
169,11994.6,0.8846,0.46143,0.98742,0.87515,0.84839,0.8985,0.62695,1.2155,0.59377,1.20381,0.000280723,0.000280723,0.000280723
